Dependency=ASHRAE IECC Climate Zone 2004 - 2A Split	Dependency=Heating Fuel	Dependency=Vintage	Option=Ducted Heat Pump	Option=Ducted Heating	Option=Non-Ducted Heat Pump	Option=Non-Ducted Heating	Option=None	source_count	source_weight	sampling_probability
2B	Propane	1960s	0.000000	0.000000	0.000000	1.000000	0.000000	3	8062.15	2.00E-05
2B	Electricity	1970s	0.000000	0.000000	0.000000	1.000000	0.000000	31	275549	0.0024193
2B	Fuel Oil	1970s	0.000000	0.000000	0.000000	1.000000	0.000000	13	35354.8	1.80E-06
2B	Natural Gas	1970s	0.000000	0.000000	0.000000	1.000000	0.000000	13	35354.8	0.000748539
2B	None	1970s	0.000000	0.000000	0.000000	1.000000	0.000000	3	22906.2	4.70E-05
2B	Other Fuel	1970s	0.000000	0.000000	0.000000	1.000000	0.000000	13	35354.8	3.14E-05
2B	Propane	1970s	0.000000	0.000000	0.000000	1.000000	0.000000	13	35354.8	3.86E-05
2B	Electricity	1980s	0.000000	0.000000	0.000000	1.000000	0.000000	36	384980	0.00282699
2B	Fuel Oil	1980s	0.000000	0.000000	0.000000	1.000000	0.000000	6	15681	2.09E-06
2B	Natural Gas	1980s	0.000000	0.000000	0.000000	1.000000	0.000000	6	15681	0.000479656
2B	None	1980s	0.000000	0.000000	0.000000	1.000000	0.000000	0	0	4.29E-05
2B	Other Fuel	1980s	0.000000	0.000000	0.000000	1.000000	0.000000	6	15681	3.06E-05
2B	Propane	1980s	0.000000	0.000000	0.000000	1.000000	0.000000	6	15681	5.00E-05
2B	Electricity	1990s	0.000000	0.000000	0.000000	1.000000	0.000000	29	295549	0.00258032
2B	Fuel Oil	1990s	0.000000	0.000000	0.000000	1.000000	0.000000	17	46624.6	2.47E-06
2B	Natural Gas	1990s	0.000000	0.000000	0.000000	1.000000	0.000000	17	46624.6	0.00118723
2B	None	1990s	0.000000	0.000000	0.000000	1.000000	0.000000	6	61924.2	4.56E-05
