Dependency=Location Region	Dependency=Vintage	Dependency=Geometry Wall Type	"Option=Wood Stud, Uninsulated"	"Option=Wood Stud, R-7"	"Option=Wood Stud, R-11"	"Option=Wood Stud, R-15"	"Option=Wood Stud, R-19"	"Option=CMU, 6-in Hollow, Uninsulated"	"Option=CMU, 6-in Hollow, R-7"	"Option=CMU, 6-in Hollow, R-11"	"Option=CMU, 6-in Hollow, R-15"	"Option=CMU, 6-in Hollow, R-19"	"Option=Brick, 12-in, 3-wythe, Uninsulated"	"Option=Brick, 12-in, 3-wythe, R-7"	"Option=Brick, 12-in, 3-wythe, R-11"	"Option=Brick, 12-in, 3-wythe, R-15"	"Option=Brick, 12-in, 3-wythe, R-19"	Option=Void	sampling_probability
CR04	1990s	Concrete	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3.25E-05
CR06	1990s	Concrete	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5.05E-05
CR07	1990s	Concrete	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	7.74E-05
CR08	1990s	Concrete	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.000435731
CR09	1990s	Concrete	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.00245682
CR10	1990s	Concrete	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.000205203
CR11	1990s	Concrete	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1.14E-05
CR02	2000s	Concrete	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0.000116374
CR05	2000s	Concrete	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0	3.32E-05
CR03	2000s	Concrete	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0.00106821
CR04	2000s	Concrete	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0	2.33E-05
CR06	2000s	Concrete	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0	7.64E-05
CR07	2000s	Concrete	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0	8.75E-05
CR08	2000s	Concrete	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0.00027837
CR09	2000s	Concrete	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0.00269266
CR10	2000s	Concrete	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0	4.93E-05
CR11	2000s	Concrete	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0	6.16E-05
CR02	1940s	Concrete	0	0	0	0	0	0.31	0.17	0.31	0.14	0.07	0	0	0	0	0	0	2.40E-05
CR05	1940s	Concrete	0	0	0	0	0	0.31	0.17	0.31	0.14	0.07	0	0	0	0	0	0	2.25E-06
CR03	1940s	Concrete	0	0	0	0	0	0.31	0.17	0.31	0.14	0.07	0	0	0	0	0	0	0.000590415
CR04	1940s	Concrete	0	0	0	0	0	0.31	0.17	0.31	0.14	0.07	0	0	0	0	0	0	0.000130496
CR06	1940s	Concrete	0	0	0	0	0	0.31	0.17	0.31	0.14	0.07	0	0	0	0	0	0	3.12E-05
CR07	1940s	Concrete	0	0	0	0	0	0.31	0.17	0.31	0.14	0.07	0	0	0	0	0	0	0.000112902
CR08	1940s	Concrete	0	0	0	0	0	0.31	0.17	0.31	0.14	0.07	0	0	0	0	0	0	0.000184693
CR09	1940s	Concrete	0	0	0	0	0	0.31	0.17	0.31	0.14	0.07	0	0	0	0	0	0	0.000492624
CR10	1940s	Concrete	0	0	0	0	0	0.31	0.17	0.31	0.14	0.07	0	0	0	0	0	0	9.88E-05
CR11	1940s	Concrete	0	0	0	0	0	0.31	0.17	0.31	0.14	0.07	0	0	0	0	0	0	1.91E-05
CR02	2010s	Concrete	0	0	0	0	0	0	0	0	0.25	0.75	0	0	0	0	0	0	8.86E-05
CR05	2010s	Concrete	0	0	0	0	0	0	0	0	0.25	0.75	0	0	0	0	0	0	1.13E-05
CR03	2010s	Concrete	0	0	0	0	0	0	0	0	0.25	0.75	0	0	0	0	0	0	0.000300076
CR04	2010s	Concrete	0	0	0	0	0	0	0	0	0.25	0.75	0	0	0	0	0	0	7.25E-06
CR06	2010s	Concrete	0	0	0	0	0	0	0	0	0.25	0.75	0	0	0	0	0	0	1.27E-05
CR07	2010s	Concrete	0	0	0	0	0	0	0	0	0.25	0.75	0	0	0	0	0	0	3.80E-05
CR08	2010s	Concrete	0	0	0	0	0	0	0	0	0.25	0.75	0	0	0	0	0	0	0.000108981
CR09	2010s	Concrete	0	0	0	0	0	0	0	0	0.25	0.75	0	0	0	0	0	0	0.000567106
CR10	2010s	Concrete	0	0	0	0	0	0	0	0	0.25	0.75	0	0	0	0	0	0	5.32E-06
CR11	2010s	Concrete	0	0	0	0	0	0	0	0	0.25	0.75	0	0	0	0	0	0	1.85E-06
CR02	<1940	Void	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CR05	<1940	Void	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CR03	<1940	Void	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CR04	<1940	Void	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CR06	<1940	Void	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CR07	<1940	Void	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CR08	<1940	Void	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CR09	<1940	Void	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CR10	<1940	Void	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CR11	<1940	Void	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CR02	1950s	Void	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CR05	1950s	Void	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CR03	1950s	Void	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CR04	1950s	Void	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
